STATISTIÈNA REGIJA;LETO;Regionalni bruto domaèi proizvod na prebivalca, indeks ravni [Slovenija vsa leta = 100]
Notranjsko-kraška;2012;68.8
Notranjsko-kraška;2013;70.2
Notranjsko-kraška;2014;71.8
Notranjsko-kraška;2015;73.8
Goriška;2000;97.4
Goriška;2001;97.4
Goriška;2002;97.0
Goriška;2003;95.3
Goriška;2004;93.9
Goriška;2005;93.7
Goriška;2006;92.8
Goriška;2007;94.8
Goriška;2008;95.4
Goriška;2009;94.2
Goriška;2010;93.6
Goriška;2011;92.2
Goriška;2012;91.1
Goriška;2013;90.6
Goriška;2014;90.6
Goriška;2015;91.7
Obalno-kraška;2000;106.5
Obalno-kraška;2001;105.8
Obalno-kraška;2002;106.1
Obalno-kraška;2003;105.9
Obalno-kraška;2004;105.5
Obalno-kraška;2005;104.5
Obalno-kraška;2006;105.2
Obalno-kraška;2007;105.6
Obalno-kraška;2008;107.1
Obalno-kraška;2009;108.1
Obalno-kraška;2010;108.7
Obalno-kraška;2011;106.1
Obalno-kraška;2012;101.4
Obalno-kraška;2013;98.3
Obalno-kraška;2014;97.5
Obalno-kraška;2015;100.2
