"Kazalnik vlaganja v razvoj, Slovenija, statistiène regije, letni podatki do 2014"

"KAZALNIK";"STATISTIÈNA REGIJA";"VIR FINANCIRANJA";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Jugovzhodna Slovenija";"Viri iz tujine";7.2;2.9;0.2;0.0;0.1;1.5;2.1;2.3;2.2;4.1;5.3;5.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Osrednjeslovenska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Osrednjeslovenska";"Gospodarske družbe";83.2;79.2;75.5;83.7;88.0;86.3;80.5;77.0;48.0;75.5;74.1;79.9
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Osrednjeslovenska";"Državni viri";5.0;4.6;8.2;7.8;8.4;7.8;12.5;16.2;42.4;14.2;15.6;8.1
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Osrednjeslovenska";"Zasebne nepridobitne organizacije";0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.1
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Osrednjeslovenska";"Viri iz tujine";11.6;16.1;16.3;8.5;3.7;5.9;7.0;6.7;9.6;10.3;10.3;11.9
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Gorenjska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Gorenjska";"Gospodarske družbe";35.7;72.5;95.0;96.9;91.5;94.6;82.5;80.9;85.1;82.7;83.3;87.7
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Gorenjska";"Državni viri";42.5;5.4;4.9;2.4;6.1;4.0;16.8;18.8;12.6;9.4;10.3;9.2
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Gorenjska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Gorenjska";"Viri iz tujine";21.8;22.1;0.1;0.8;2.4;1.3;0.7;0.3;2.3;7.6;6.5;3.2
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Primorsko-notranjska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Primorsko-notranjska";"Gospodarske družbe";92.7;100.0;100.0;91.8;90.8;99.1;92.7;71.0;79.1;56.8;74.2;78.3
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Primorsko-notranjska";"Državni viri";7.1;0.2;0.0;6.5;1.9;0.9;2.6;23.1;15.7;41.2;25.4;21.7
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Primorsko-notranjska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Primorsko-notranjska";"Viri iz tujine";0.0;0.0;0.0;1.7;7.3;0.0;4.7;5.9;5.1;2.0;0.4;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Goriška";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Goriška";"Gospodarske družbe";92.7;100.0;100.0;91.8;90.8;99.1;92.7;71.0;76.3;75.9;79.6;88.9
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Goriška";"Državni viri";7.1;0.0;0.0;6.5;1.9;0.9;2.6;23.1;21.1;21.8;16.2;6.4
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Goriška";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Goriška";"Viri iz tujine";0.0;0.0;0.0;1.7;7.3;0.0;4.7;5.9;2.5;2.3;4.2;4.7
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Obalno-kraška";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Obalno-kraška";"Gospodarske družbe";92.0;92.7;94.4;91.9;89.2;91.4;90.8;81.1;54.9;71.8;73.8;81.4
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Obalno-kraška";"Državni viri";8.0;6.6;5.3;7.1;10.5;7.3;9.0;17.4;38.3;8.3;6.8;6.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Obalno-kraška";"Zasebne nepridobitne organizacije";0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Obalno-kraška";"Viri iz tujine";0.0;0.0;0.2;1.0;0.3;1.3;0.2;1.5;6.7;15.7;19.4;12.6
